INFO  - 2014-07-17 14:12:40.818; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.821; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.825; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.828; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.831; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=1 
INFO  - 2014-07-17 14:12:40.833; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.836; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.839; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.842; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.845; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=1 
INFO  - 2014-07-17 14:12:40.847; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.850; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.853; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.856; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=1 
INFO  - 2014-07-17 14:12:40.858; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.861; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.864; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.867; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=1 
INFO  - 2014-07-17 14:12:40.870; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=1 
INFO  - 2014-07-17 14:12:40.873; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=1 
INFO  - 2014-07-17 14:12:40.875; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.878; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.881; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.884; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.886; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:12:40.889; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Location&rows=1&wt=javabin&version=2} hits=5 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.549; org.apache.solr.core.SolrCore; [trees] webapp=/solr-instrucs path=/select params={q=who&rows=5&wt=javabin&version=2} hits=321 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.551; org.apache.solr.core.SolrCore; [trees] webapp=/solr-instrucs path=/select params={q=n&rows=5&wt=javabin&version=2} hits=0 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.553; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=n~0.7&sort=score+desc,abs(sub(length,1))+asc&wt=javabin&version=2} hits=0 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.556; org.apache.solr.core.SolrCore; [trees] webapp=/solr-instrucs path=/select params={q=linearizations:who+n&fq=lang:InstrucsEng&sort=score+desc,length+asc&rows=5&wt=javabin&version=2} hits=321 status=0 QTime=1 
INFO  - 2014-07-17 14:13:30.558; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.564; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.568; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.570; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.572; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=1 
INFO  - 2014-07-17 14:13:30.573; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.575; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.577; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.578; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.580; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.583; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.585; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.587; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=1 
INFO  - 2014-07-17 14:13:30.589; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.590; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.592; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.594; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
INFO  - 2014-07-17 14:13:30.596; org.apache.solr.core.SolrCore; [names] webapp=/solr-instrucs path=/select params={q=*:*&sort=score+desc,length+asc&fq=type:Skill&rows=1&wt=javabin&version=2} hits=22 status=0 QTime=0 
